x_value,total_1,total_2
0,1000,1000
1,1006,1006
2,1014,1008
3,1014,1009
4,1010,1012
5,1012,1008
6,1012,1007
7,1020,1004
8,1025,1006
9,1024,1011
10,1023,1011
11,1023,1010
12,1020,1008
13,1015,1006
14,1012,1010
15,1007,1005
16,1014,1002
17,1019,1000
18,1025,996
19,1021,995
20,1024,994
21,1030,999
22,1037,994
23,1034,999
24,1039,999
25,1039,1001
26,1045,1000
27,1049,1004
28,1045,1004
29,1047,1007
30,1051,1012
31,1053,1009
32,1056,1008
33,1063,1005
34,1066,1011
35,1067,1008
36,1073,1012
37,1078,1013
38,1073,1008
39,1072,1009
40,1071,1008
41,1065,1014
42,1061,1010
43,1058,1014
44,1065,1010
45,1065,1014
46,1071,1019
47,1077,1014
48,1075,1014
49,1081,1018
50,1075,1024
51,1069,1029
52,1063,1033
53,1069,1030
54,1067,1035
55,1067,1037
56,1069,1042
57,1071,1046
58,1079,1049
59,1087,1050
60,1081,1045
61,1084,1044
62,1082,1047
63,1088,1047
64,1087,1042
65,1083,1043
66,1078,1043
67,1084,1038
68,1086,1042
69,1090,1037
70,1090,1037
71,1090,1042
72,1098,1043
73,1106,1047
74,1106,1042
75,1111,1042
76,1117,1043
77,1115,1046
78,1121,1041
79,1123,1038
80,1126,1034
81,1125,1036
82,1127,1039
83,1130,1045
84,1126,1049
85,1127,1046
86,1131,1043
87,1129,1038
88,1134,1034
89,1128,1036
90,1128,1037
91,1124,1037
92,1124,1041
93,1120,1039
94,1124,1045
95,1130,1045
96,1134,1040
97,1129,1037
98,1125,1034
99,1133,1032
100,1130,1038
101,1130,1034
102,1131,1036
103,1128,1036
104,1127,1040
105,1123,1035
106,1120,1033
107,1123,1030
108,1124,1026
109,1128,1024
110,1136,1028
111,1137,1023
112,1134,1021
113,1141,1020
114,1145,1018
115,1142,1014
116,1142,1011
117,1142,1015
118,1139,1017
119,1139,1021
120,1134,1026
121,1132,1022
122,1139,1024
123,1134,1021
124,1133,1020
125,1140,1023
126,1143,1023
127,1148,1021
128,1151,1025
129,1154,1024
130,1158,1026
131,1162,1026
132,1170,1032
133,1164,1029
134,1161,1033
135,1162,1033
